phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
engine_execution,effect_unknown_recovery_failed,1,0,40,7292,7542,7000,7583,0,0
engine_execution,effect_unknown_recovery_resolved,1,0,40,6917,7042,6625,7084,0,0
engine_execution,graph_chain,1,0,40,13041,13625,12667,13791,0,0
engine_execution,graph_chain,10,9,40,63854,65458,34000,67750,0,0
engine_execution,graph_chain,100,99,40,430667,469292,397083,515917,0,0
engine_execution,graph_chain,1000,999,40,12485146,13760833,11827208,13987833,0,0
engine_execution,graph_sparse,1,0,40,11000,11375,10458,11541,0,0
engine_execution,graph_sparse,10,9,40,54312,55083,53125,55875,0,0
engine_execution,graph_sparse,100,99,40,286458,296250,275834,390916,0,0
engine_execution,graph_sparse,1000,999,40,10098312,10368542,9846958,10537875,0,0
engine_execution,graph_wide,1,0,40,10895,11292,10625,11542,0,0
engine_execution,graph_wide,10,9,40,33583,35833,32542,36333,0,0
engine_execution,graph_wide,100,99,40,284541,301083,272583,304541,0,0
engine_execution,graph_wide,1000,999,40,7312771,10543333,6488208,17237750,0,0
engine_execution,resident_ready_shutdown,1,0,40,7167,9167,6916,9375,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,8000,8792,7750,13917,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,14542,17667,14208,18292,0,0
engine_execution,resource_normal,2,1,40,9395,9584,9167,9667,0,0
engine_execution,resource_release_failure,2,1,40,9833,11833,9583,12916,0,0
engine_execution,resource_startup_failure,2,1,40,9708,9875,9417,10125,0,0
engine_execution,retry_one_failure,1,0,40,6875,8667,6625,9000,0,0
engine_execution,service_restart_exhausted,1,0,40,8562,78750,7792,106125,0,0
engine_execution,service_restart_stable_handle,1,0,40,12021,14500,10166,14792,0,0
engine_execution,tiny_yield_chain,1,0,40,4833,4959,4708,5000,0,0
engine_execution,trace_default,100,99,40,279021,289166,275833,299416,0,0
engine_execution,trace_observer,100,99,40,286416,298666,282875,308583,0,0
engine_execution_alloc,component_flat,10,9,0,,,,,589,46368
engine_execution_alloc,component_flat,100,99,0,,,,,5366,523200
engine_execution_alloc,component_nested,13,12,0,,,,,875,61257
engine_execution_alloc,component_nested,103,102,0,,,,,6642,655449
engine_execution_alloc,component_repeated_typed_10,10,10,0,,,,,1432,97750
engine_execution_alloc,component_repeated_typed_100,100,100,0,,,,,22773,1473510
engine_execution_alloc,component_repeated_typed_2,2,2,0,,,,,314,25438
engine_execution_alloc,dynamic_live_instances_1,3,2,0,,,,,642,59565
engine_execution_alloc,dynamic_live_instances_10,3,2,0,,,,,4571,438575
engine_execution_alloc,dynamic_live_instances_100,3,2,0,,,,,70447,6364163
engine_execution_alloc,dynamic_sequential_churn_1,2,1,0,,,,,559,48963
engine_execution_alloc,dynamic_sequential_churn_10,2,1,0,,,,,3560,320159
engine_execution_alloc,dynamic_sequential_churn_100,2,1,0,,,,,33312,3470415
engine_execution_alloc,effect_known_receipt,1,0,0,,,,,158,15522
engine_execution_alloc,effect_unknown_recovery_failed,1,0,0,,,,,160,16355
engine_execution_alloc,effect_unknown_recovery_resolved,1,0,0,,,,,153,15667
engine_execution_alloc,graph_chain,1,0,0,,,,,107,11948
engine_execution_alloc,graph_chain,10,9,0,,,,,589,46368
engine_execution_alloc,graph_chain,100,99,0,,,,,5366,523200
engine_execution_alloc,graph_chain,1000,999,0,,,,,53073,19575536
engine_execution_alloc,graph_sparse,1,0,0,,,,,107,11949
engine_execution_alloc,graph_sparse,10,9,0,,,,,581,47329
engine_execution_alloc,graph_sparse,100,99,0,,,,,5270,504353
engine_execution_alloc,graph_sparse,1000,999,0,,,,,52113,15829713
engine_execution_alloc,graph_wide,1,0,0,,,,,107,11947
engine_execution_alloc,graph_wide,10,9,0,,,,,572,48287
engine_execution_alloc,graph_wide,100,99,0,,,,,5094,478431
engine_execution_alloc,graph_wide,1000,999,0,,,,,50168,11915071
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,326,26919
engine_execution_alloc,resource_normal,2,1,0,,,,,212,19946
engine_execution_alloc,resource_release_failure,2,1,0,,,,,222,20689
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,219,20993
engine_execution_alloc,retry_one_failure,1,0,0,,,,,161,15681
engine_execution_alloc,service_restart_exhausted,1,0,0,,,,,190,18180
engine_execution_alloc,service_restart_stable_handle,1,0,0,,,,,243,22772
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,107,11948
engine_execution_alloc,trace_default,100,99,0,,,,,5366,523200
engine_execution_alloc,trace_observer,100,99,0,,,,,5366,523200
fixture_generation,graph_chain,1,0,20,292,375,250,625,0,0
fixture_generation,graph_chain,10,9,20,1479,1708,1458,4291,0,0
fixture_generation,graph_chain,100,99,20,11291,11709,11083,12083,0,0
fixture_generation,graph_chain,1000,999,20,55500,59875,53667,62958,0,0
fixture_generation,graph_sparse,1,0,20,250,250,208,291,0,0
fixture_generation,graph_sparse,10,9,20,792,875,791,1000,0,0
fixture_generation,graph_sparse,100,99,20,6375,6458,6250,6500,0,0
fixture_generation,graph_sparse,1000,999,20,53250,56333,53166,59500,0,0
fixture_generation,graph_wide,1,0,20,250,417,209,459,0,0
fixture_generation,graph_wide,10,9,20,750,917,708,959,0,0
fixture_generation,graph_wide,100,99,20,6875,6959,6875,7000,0,0
fixture_generation,graph_wide,1000,999,20,52708,65000,51083,74334,0,0
fixture_generation,tiny_yield_chain,1,0,20,84,167,83,875,0,0
