phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
engine_execution_alloc,graph_chain,1,0,0,,,,,110,15124
engine_execution_alloc,graph_chain,10,9,0,,,,,654,66005
engine_execution_alloc,graph_chain,100,99,0,,,,,5983,769127
engine_execution_alloc,graph_chain,1000,999,0,,,,,59102,28976331
engine_execution_alloc,graph_sparse,1,0,0,,,,,110,15126
engine_execution_alloc,graph_sparse,10,9,0,,,,,642,66839
engine_execution_alloc,graph_sparse,100,99,0,,,,,5838,748713
engine_execution_alloc,graph_sparse,1000,999,0,,,,,57643,25214541
engine_execution_alloc,graph_wide,1,0,0,,,,,110,15122
engine_execution_alloc,graph_wide,10,9,0,,,,,631,67859
engine_execution_alloc,graph_wide,100,99,0,,,,,5618,723205
engine_execution_alloc,graph_wide,1000,999,0,,,,,55207,21300249
engine_execution_alloc,resource_cleanup_error_upstream,3,1,0,,,,,337,30082
engine_execution_alloc,resource_normal,2,1,0,,,,,219,23034
engine_execution_alloc,resource_release_failure,2,1,0,,,,,229,23777
engine_execution_alloc,resource_startup_failure,2,1,0,,,,,226,24070
engine_execution_alloc,retry_one_failure,1,0,0,,,,,165,18832
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,110,15124
engine_execution_alloc,trace_default,100,99,0,,,,,5983,769127
engine_execution_alloc,trace_observer,100,99,0,,,,,5983,769127
fixture_generation,graph_chain,1,0,20,241,333,222,1000,0,0
fixture_generation,graph_chain,10,9,20,1287,1537,1259,1556,0,0
fixture_generation,graph_chain,100,99,20,16416,16537,16093,16592,0,0
fixture_generation,graph_chain,1000,999,20,162833,163482,162167,166278,0,0
fixture_generation,graph_sparse,1,0,20,223,315,222,351,0,0
fixture_generation,graph_sparse,10,9,20,1315,1574,1259,1629,0,0
fixture_generation,graph_sparse,100,99,20,15945,16111,15760,53945,0,0
fixture_generation,graph_sparse,1000,999,20,165454,165797,164797,171445,0,0
fixture_generation,graph_wide,1,0,20,240,371,203,1240,0,0
fixture_generation,graph_wide,10,9,20,1260,1352,1259,1389,0,0
fixture_generation,graph_wide,100,99,20,16083,16352,15870,16389,0,0
fixture_generation,graph_wide,1000,999,20,166084,166871,165704,171816,0,0
fixture_generation,tiny_yield_chain,1,0,20,241,870,203,2018,0,0
machine_state_setup,graph_chain,1,0,40,1130,1370,1019,1926,0,0
machine_state_setup,graph_chain,10,9,40,6638,7203,6333,11371,0,0
machine_state_setup,graph_chain,100,99,40,63926,65111,63186,69945,0,0
machine_state_setup,graph_chain,1000,999,40,603011,754466,593966,3329105,0,0
machine_state_setup,graph_sparse,1,0,40,1111,1240,945,1666,0,0
machine_state_setup,graph_sparse,10,9,40,6685,7074,6389,10204,0,0
machine_state_setup,graph_sparse,100,99,40,64361,66482,63519,94297,0,0
machine_state_setup,graph_sparse,1000,999,40,901883,916985,895299,1065726,0,0
machine_state_setup,graph_wide,1,0,40,1102,1185,944,1611,0,0
machine_state_setup,graph_wide,10,9,40,6769,7148,6481,7870,0,0
machine_state_setup,graph_wide,100,99,40,68269,69593,67500,96407,0,0
machine_state_setup,graph_wide,1000,999,40,1354088,1420098,1344394,1528617,0,0
machine_state_setup,tiny_yield_chain,1,0,40,1093,1260,1074,2685,0,0
plan_build,graph_chain,1,0,20,1092,2056,981,7297,0,0
plan_build,graph_chain,10,9,20,4518,5759,4333,7351,0,0
plan_build,graph_chain,100,99,20,62556,67408,61796,158408,0,0
plan_build,graph_chain,1000,999,20,3577615,3615236,3556365,3670551,0,0
plan_build,graph_sparse,1,0,20,1037,1148,1000,1907,0,0
plan_build,graph_sparse,10,9,20,4675,5222,4555,7889,0,0
plan_build,graph_sparse,100,99,20,64093,66667,63519,70519,0,0
plan_build,graph_sparse,1000,999,20,3697755,3717292,3681477,3732570,0,0
plan_build,graph_wide,1,0,20,1083,1204,1000,2278,0,0
plan_build,graph_wide,10,9,20,4500,4870,4333,7703,0,0
plan_build,graph_wide,100,99,20,64574,65834,64001,66853,0,0
plan_build,graph_wide,1000,999,20,3644430,3672459,3630903,3699996,0,0
plan_build,tiny_yield_chain,1,0,20,1212,11797,907,40037,0,0
plan_build_alloc,graph_chain,1,0,0,,,,,13,2317
plan_build_alloc,graph_chain,10,9,0,,,,,57,14266
plan_build_alloc,graph_chain,100,99,0,,,,,429,126588
plan_build_alloc,graph_chain,1000,999,0,,,,,4041,1049104
plan_build_alloc,graph_sparse,1,0,0,,,,,13,2318
plan_build_alloc,graph_sparse,10,9,0,,,,,57,14267
plan_build_alloc,graph_sparse,100,99,0,,,,,429,126589
plan_build_alloc,graph_sparse,1000,999,0,,,,,4041,1049105
plan_build_alloc,graph_wide,1,0,0,,,,,13,2316
plan_build_alloc,graph_wide,10,9,0,,,,,57,14265
plan_build_alloc,graph_wide,100,99,0,,,,,429,126587
plan_build_alloc,graph_wide,1000,999,0,,,,,4041,1049103
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,13,2317
pure_machine_events_preseeded,graph_chain,1,0,40,2222,2426,2112,4166,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,16342,16907,15722,18907,0,0
