phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
machine_state_setup,graph_sparse,1000,999,40,911530,932263,905855,1061597,0,0
machine_state_setup,graph_wide,1,0,40,1111,1278,1037,1611,0,0
machine_state_setup,graph_wide,10,9,40,6685,6944,6426,7815,0,0
machine_state_setup,graph_wide,100,99,40,67648,69982,66500,97204,0,0
machine_state_setup,graph_wide,1000,999,40,1357958,1377246,1352005,1533098,0,0
machine_state_setup,tiny_yield_chain,1,0,40,1130,1315,1092,2630,0,0
plan_build,graph_chain,1,0,20,1074,1315,1018,2889,0,0
plan_build,graph_chain,10,9,20,4555,6315,4334,6703,0,0
plan_build,graph_chain,100,99,20,62500,65000,62296,67648,0,0
plan_build,graph_chain,1000,999,20,3514753,3550050,3490179,3633977,0,0
plan_build,graph_sparse,1,0,20,1055,1130,1000,1852,0,0
plan_build,graph_sparse,10,9,20,4713,7592,4556,19815,0,0
plan_build,graph_sparse,100,99,20,64416,67686,64204,67982,0,0
plan_build,graph_sparse,1000,999,20,3582819,3612735,3565235,3685495,0,0
plan_build,graph_wide,1,0,20,1065,1149,1018,1944,0,0
plan_build,graph_wide,10,9,20,4518,4982,4388,9649,0,0
plan_build,graph_wide,100,99,20,63954,66353,63389,72907,0,0
plan_build,graph_wide,1000,999,20,3553364,3603087,3545216,3646661,0,0
plan_build,tiny_yield_chain,1,0,20,1046,6833,851,20000,0,0
plan_build_alloc,graph_chain,1,0,0,,,,,13,2317
plan_build_alloc,graph_chain,10,9,0,,,,,57,14266
plan_build_alloc,graph_chain,100,99,0,,,,,429,126588
plan_build_alloc,graph_chain,1000,999,0,,,,,4041,1049104
plan_build_alloc,graph_sparse,1,0,0,,,,,13,2318
plan_build_alloc,graph_sparse,10,9,0,,,,,57,14267
plan_build_alloc,graph_sparse,100,99,0,,,,,429,126589
plan_build_alloc,graph_sparse,1000,999,0,,,,,4041,1049105
plan_build_alloc,graph_wide,1,0,0,,,,,13,2316
plan_build_alloc,graph_wide,10,9,0,,,,,57,14265
plan_build_alloc,graph_wide,100,99,0,,,,,429,126587
plan_build_alloc,graph_wide,1000,999,0,,,,,4041,1049103
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,13,2317
pure_machine_events_preseeded,graph_chain,1,0,40,2130,2407,2037,3740,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,16342,17111,15851,18463,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,332436,343575,327464,395538,0,0
pure_machine_events_preseeded,graph_chain,1000,999,40,29955182,30271202,29607293,30963056,0,0
representative_application,application_hash_handwritten,10,9,40,1240,1278,1222,1667,0,0
representative_application,application_hash_handwritten,100,99,40,13314,13315,13296,13334,0,0
representative_application,application_hash_sdax,10,9,40,70121,71111,69130,82741,0,0
representative_application,application_hash_sdax,100,99,40,914605,921059,906948,926855,0,0
representative_application_alloc,application_hash_sdax,10,9,0,,,,,654,66314
representative_application_alloc,application_hash_sdax,100,99,0,,,,,5983,772676
