phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
fixture_generation,graph_wide,10,9,20,625,667,583,667,0,0
fixture_generation,graph_wide,100,99,20,6417,6833,6375,6875,0,0
fixture_generation,graph_wide,1000,999,20,53521,58667,52875,60917,0,0
fixture_generation,tiny_yield_chain,1,0,20,84,292,83,750,0,0
machine_state_setup,graph_chain,1,0,40,500,583,458,792,0,0
machine_state_setup,graph_chain,10,9,40,3229,6875,2833,7166,0,0
machine_state_setup,graph_chain,100,99,40,27000,27292,26750,27834,0,0
machine_state_setup,graph_chain,1000,999,40,222521,232917,213625,258375,0,0
machine_state_setup,graph_sparse,1,0,40,1125,1209,1083,1375,0,0
machine_state_setup,graph_sparse,10,9,40,5708,5959,5583,6083,0,0
machine_state_setup,graph_sparse,100,99,40,24208,27250,23791,28250,0,0
machine_state_setup,graph_sparse,1000,999,40,313687,337250,312375,491375,0,0
machine_state_setup,graph_wide,1,0,40,1125,1209,1083,1334,0,0
machine_state_setup,graph_wide,10,9,40,5750,5959,5583,10500,0,0
machine_state_setup,graph_wide,100,99,40,27208,27542,26042,28416,0,0
machine_state_setup,graph_wide,1000,999,40,451917,499458,448166,559792,0,0
machine_state_setup,tiny_yield_chain,1,0,40,500,542,458,875,0,0
plan_build,graph_chain,1,0,20,1000,1500,958,4209,0,0
plan_build,graph_chain,10,9,20,4667,7834,4583,7958,0,0
plan_build,graph_chain,100,99,20,26708,61208,26417,61875,0,0
plan_build,graph_chain,1000,999,20,1207104,1263542,1190750,1331958,0,0
plan_build,graph_sparse,1,0,20,1020,1084,1000,1542,0,0
plan_build,graph_sparse,10,9,20,3958,4291,3875,5375,0,0
plan_build,graph_sparse,100,99,20,27541,27958,26791,32542,0,0
plan_build,graph_sparse,1000,999,20,1193146,1227125,1188042,1265417,0,0
plan_build,graph_wide,1,0,20,417,458,375,666,0,0
plan_build,graph_wide,10,9,20,2000,2291,1958,3042,0,0
plan_build,graph_wide,100,99,20,30958,33417,30541,41917,0,0
plan_build,graph_wide,1000,999,20,1201875,1254583,1187625,1254750,0,0
plan_build,tiny_yield_chain,1,0,20,417,625,375,4708,0,0
plan_build_alloc,graph_chain,1,0,0,,,,,13,2317
plan_build_alloc,graph_chain,10,9,0,,,,,57,14266
plan_build_alloc,graph_chain,100,99,0,,,,,429,126588
plan_build_alloc,graph_chain,1000,999,0,,,,,4041,1049104
plan_build_alloc,graph_sparse,1,0,0,,,,,13,2318
plan_build_alloc,graph_sparse,10,9,0,,,,,57,14267
plan_build_alloc,graph_sparse,100,99,0,,,,,429,126589
plan_build_alloc,graph_sparse,1000,999,0,,,,,4041,1049105
plan_build_alloc,graph_wide,1,0,0,,,,,13,2316
plan_build_alloc,graph_wide,10,9,0,,,,,57,14265
plan_build_alloc,graph_wide,100,99,0,,,,,429,126587
plan_build_alloc,graph_wide,1000,999,0,,,,,4041,1049103
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,13,2317
pure_machine_events_preseeded,graph_chain,1,0,40,1000,1125,916,1708,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,20250,20792,8583,22500,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,180208,192042,163500,192375,0,0
pure_machine_events_preseeded,graph_chain,1000,999,40,10016312,10436333,8752000,10611333,0,0
representative_application,application_hash_handwritten,10,9,40,750,792,708,834,0,0
representative_application,application_hash_handwritten,100,99,40,8375,8417,8375,12333,0,0
representative_application,application_hash_sdax,10,9,40,34395,39750,29333,39875,0,0
representative_application,application_hash_sdax,100,99,40,346479,527750,339167,683333,0,0
representative_application_alloc,application_hash_sdax,10,9,0,,,,,671,68034
representative_application_alloc,application_hash_sdax,100,99,0,,,,,6090,785196
